2020-08-06 00:01:24,160 - INFO - train.py[:250] - iter: 204395, lr: 0.0001, epoch: 92.82, loss: 15.32, hm_loss: 11.61, box_loss: 1.79, lmdk_loss: 1.91610
2020-08-06 00:01:25,956 - INFO - train.py[:250] - iter: 204405, lr: 0.0001, epoch: 92.83, loss: 15.50, hm_loss: 4.51, box_loss: 1.02, lmdk_loss: 9.97282
2020-08-06 00:01:27,754 - INFO - train.py[:250] - iter: 204415, lr: 0.0001, epoch: 92.83, loss: 2.85, hm_loss: 0.86, box_loss: 0.66, lmdk_loss: 1.33153
2020-08-06 00:01:29,518 - INFO - train.py[:250] - iter: 204425, lr: 0.0001, epoch: 92.84, loss: 2.13, hm_loss: 1.17, box_loss: 0.57, lmdk_loss: 0.38515
2020-08-06 00:01:31,302 - INFO - train.py[:250] - iter: 204435, lr: 0.0001, epoch: 92.84, loss: 2.60, hm_loss: 1.40, box_loss: 0.49, lmdk_loss: 0.70470
2020-08-06 00:01:33,065 - INFO - train.py[:250] - iter: 204445, lr: 0.0001, epoch: 92.84, loss: 7.83, hm_loss: 5.69, box_loss: 0.88, lmdk_loss: 1.25935
2020-08-06 00:01:34,922 - INFO - train.py[:250] - iter: 204455, lr: 0.0001, epoch: 92.85, loss: 10.24, hm_loss: 2.06, box_loss: 1.36, lmdk_loss: 6.82030
2020-08-06 00:01:36,724 - INFO - train.py[:250] - iter: 204465, lr: 0.0001, epoch: 92.85, loss: 12.55, hm_loss: 3.19, box_loss: 1.76, lmdk_loss: 7.59217
2020-08-06 00:01:38,490 - INFO - train.py[:250] - iter: 204475, lr: 0.0001, epoch: 92.86, loss: 4.29, hm_loss: 2.53, box_loss: 0.79, lmdk_loss: 0.96293
2020-08-06 00:01:40,295 - INFO - train.py[:250] - iter: 204485, lr: 0.0001, epoch: 92.86, loss: 5.24, hm_loss: 2.10, box_loss: 0.92, lmdk_loss: 2.22040
2020-08-06 00:01:42,060 - INFO - train.py[:250] - iter: 204495, lr: 0.0001, epoch: 92.87, loss: 4.42, hm_loss: 2.32, box_loss: 0.91, lmdk_loss: 1.17887
2020-08-06 00:01:43,839 - INFO - train.py[:250] - iter: 204505, lr: 0.0001, epoch: 92.87, loss: 3.44, hm_loss: 1.60, box_loss: 0.96, lmdk_loss: 0.87144
2020-08-06 00:01:45,670 - INFO - train.py[:250] - iter: 204515, lr: 0.0001, epoch: 92.88, loss: 3.69, hm_loss: 0.52, box_loss: 1.44, lmdk_loss: 1.72350
2020-08-06 00:01:47,436 - INFO - train.py[:250] - iter: 204525, lr: 0.0001, epoch: 92.88, loss: 5.35, hm_loss: 2.24, box_loss: 1.26, lmdk_loss: 1.84860
2020-08-06 00:01:49,212 - INFO - train.py[:250] - iter: 204535, lr: 0.0001, epoch: 92.89, loss: 3.93, hm_loss: 2.32, box_loss: 0.72, lmdk_loss: 0.89576
2020-08-06 00:01:50,971 - INFO - train.py[:250] - iter: 204545, lr: 0.0001, epoch: 92.89, loss: 4.83, hm_loss: 3.21, box_loss: 1.06, lmdk_loss: 0.56203
2020-08-06 00:01:52,780 - INFO - train.py[:250] - iter: 204555, lr: 0.0001, epoch: 92.89, loss: 17.79, hm_loss: 14.93, box_loss: 1.38, lmdk_loss: 1.48383
2020-08-06 00:01:54,476 - INFO - train.py[:250] - iter: 204565, lr: 0.0001, epoch: 92.90, loss: 9.03, hm_loss: 2.06, box_loss: 1.02, lmdk_loss: 5.95518
2020-08-06 00:01:56,264 - INFO - train.py[:250] - iter: 204575, lr: 0.0001, epoch: 92.90, loss: 3.72, hm_loss: 2.29, box_loss: 0.60, lmdk_loss: 0.83567
2020-08-06 00:01:57,977 - INFO - train.py[:250] - iter: 204585, lr: 0.0001, epoch: 92.91, loss: 5.31, hm_loss: 2.07, box_loss: 1.26, lmdk_loss: 1.97720
2020-08-06 00:01:59,692 - INFO - train.py[:250] - iter: 204595, lr: 0.0001, epoch: 92.91, loss: 5.71, hm_loss: 2.37, box_loss: 0.77, lmdk_loss: 2.57307
2020-08-06 00:02:01,523 - INFO - train.py[:250] - iter: 204605, lr: 0.0001, epoch: 92.92, loss: 8.42, hm_loss: 5.47, box_loss: 0.83, lmdk_loss: 2.11594
2020-08-06 00:02:03,386 - INFO - train.py[:250] - iter: 204615, lr: 0.0001, epoch: 92.92, loss: 8.10, hm_loss: 4.52, box_loss: 1.50, lmdk_loss: 2.08582
2020-08-06 00:02:05,202 - INFO - train.py[:250] - iter: 204625, lr: 0.0001, epoch: 92.93, loss: 3.57, hm_loss: 1.83, box_loss: 0.68, lmdk_loss: 1.05007
2020-08-06 00:02:06,923 - INFO - train.py[:250] - iter: 204635, lr: 0.0001, epoch: 92.93, loss: 4.10, hm_loss: 2.52, box_loss: 1.03, lmdk_loss: 0.54488
2020-08-06 00:02:08,604 - INFO - train.py[:250] - iter: 204645, lr: 0.0001, epoch: 92.94, loss: 3.35, hm_loss: 1.49, box_loss: 0.83, lmdk_loss: 1.03266
2020-08-06 00:02:10,481 - INFO - train.py[:250] - iter: 204655, lr: 0.0001, epoch: 92.94, loss: 14.25, hm_loss: 6.01, box_loss: 1.71, lmdk_loss: 6.52322
2020-08-06 00:02:12,158 - INFO - train.py[:250] - iter: 204665, lr: 0.0001, epoch: 92.94, loss: 10.92, hm_loss: 0.48, box_loss: 2.01, lmdk_loss: 8.42093
2020-08-06 00:02:14,001 - INFO - train.py[:250] - iter: 204675, lr: 0.0001, epoch: 92.95, loss: 7.34, hm_loss: 1.40, box_loss: 1.51, lmdk_loss: 4.42642
2020-08-06 00:02:15,700 - INFO - train.py[:250] - iter: 204685, lr: 0.0001, epoch: 92.95, loss: 17.72, hm_loss: 2.13, box_loss: 1.79, lmdk_loss: 13.80035
2020-08-06 00:02:17,431 - INFO - train.py[:250] - iter: 204695, lr: 0.0001, epoch: 92.96, loss: 1.76, hm_loss: 0.28, box_loss: 0.62, lmdk_loss: 0.85105
2020-08-06 00:02:19,198 - INFO - train.py[:250] - iter: 204705, lr: 0.0001, epoch: 92.96, loss: 2.97, hm_loss: 1.41, box_loss: 0.76, lmdk_loss: 0.80340
2020-08-06 00:02:20,839 - INFO - train.py[:250] - iter: 204715, lr: 0.0001, epoch: 92.97, loss: 2.44, hm_loss: 1.42, box_loss: 0.44, lmdk_loss: 0.57276
2020-08-06 00:02:22,639 - INFO - train.py[:250] - iter: 204725, lr: 0.0001, epoch: 92.97, loss: 8.45, hm_loss: 5.37, box_loss: 1.15, lmdk_loss: 1.93044
2020-08-06 00:02:24,288 - INFO - train.py[:250] - iter: 204735, lr: 0.0001, epoch: 92.98, loss: 6.13, hm_loss: 2.18, box_loss: 1.42, lmdk_loss: 2.52804
2020-08-06 00:02:26,094 - INFO - train.py[:250] - iter: 204745, lr: 0.0001, epoch: 92.98, loss: 6.51, hm_loss: 3.40, box_loss: 0.91, lmdk_loss: 2.18942
2020-08-06 00:02:27,903 - INFO - train.py[:250] - iter: 204755, lr: 0.0001, epoch: 92.99, loss: 4.13, hm_loss: 2.13, box_loss: 1.14, lmdk_loss: 0.86284
2020-08-06 00:02:29,775 - INFO - train.py[:250] - iter: 204765, lr: 0.0001, epoch: 92.99, loss: 2.73, hm_loss: 1.06, box_loss: 1.16, lmdk_loss: 0.51341
